Year,League,Series_Name,Series_Dates,Winner_Team,Winner_Wins,Loser_Team,Loser_Wins,Winner_Seed,Loser_Seed,Favorite_Team,Favorite_Odds,Underdog_Team,Underdog_Odds
1978,NBA,Western Conf Semifinals,Apr 18 - May 1 1978,Seattle SuperSonics,4,Portland Trail Blazers,2,4,1,,,,
1978,NBA,Eastern Conf Finals,Apr 30 - May 12 1978,Washington Bullets,4,Philadelphia 76ers,2,3,1,,,,
1978,NBA,Western Conf Finals,May 5 - May 17 1978,Seattle SuperSonics,4,Denver Nuggets,2,4,2,,,,
1978,NBA,Finals,May 21 - Jun 7 1978,Washington Bullets,4,Seattle SuperSonics,3,3,4,,,,
1977,NBA,Eastern Conf First Round,Apr 12 - Apr 15 1977,Boston Celtics,2,San Antonio Spurs,0,4,5,,,,
1977,NBA,Eastern Conf First Round,Apr 13 - Apr 17 1977,Washington Bullets,2,Cleveland Cavaliers,1,3,6,,,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,Golden State Warriors,2,Detroit Pistons,1,4,5,,,,
1977,NBA,Western Conf First Round,Apr 12 - Apr 17 1977,Portland Trail Blazers,2,Chicago Bulls,1,3,6,,,,
1977,NBA,Eastern Conf Semifinals,Apr 19 - May 1 1977,Houston Rockets,4,Washington Bullets,2,2,3,,,,
1977,NBA,Eastern Conf Semifinals,Apr 17 - May 1 1977,Philadelphia 76ers,4,Boston Celtics,3,1,4,,,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 4 1977,Los Angeles Lakers,4,Golden State Warriors,3,1,4,,,,
1977,NBA,Western Conf Semifinals,Apr 20 - May 2 1977,Portland Trail Blazers,4,Denver Nuggets,2,3,2,,,,
1977,NBA,Eastern Conf Finals,May 5 - May 17 1977,Philadelphia 76ers,4,Houston Rockets,2,1,2,,,,
1977,NBA,Western Conf Finals,May 6 - May 13 1977,Portland Trail Blazers,4,Los Angeles Lakers,0,3,1,,,,
1977,NBA,Finals,May 22 - Jun 5 1977,Portland Trail Blazers,4,Philadelphia 76ers,2,3,1,,,,
1976,NBA,Eastern Conf First Round,Apr 15 - Apr 18 1976,Buffalo Braves,2,Philadelphia 76ers,1,5,4,,,,
1976,NBA,Western Conf First Round,Apr 13 - Apr 18 1976,Detroit Pistons,2,Milwaukee Bucks,1,5,4,,,,
1976,NBA,Eastern Conf Semifinals,Apr 21 - May 2 1976,Boston Celtics,4,Buffalo Braves,2,1,5,,,,
1976,NBA,Eastern Conf Semifinals,Apr 13 - Apr 29 1976,Cleveland Cavaliers,4,Washington Bullets,3,2,3,,,,
1976,NBA,Western Conf Semifinals,Apr 20 - Apr 30 1976,Golden State Warriors,4,Detroit Pistons,2,1,5,,,,
1976,NBA,Western Conf Semifinals,Apr 13 - Apr 27 1976,Phoenix Suns,4,Seattle SuperSonics,2,3,2,,,,
1976,NBA,Eastern Conf Finals,May 6 - May 18 1976,Boston Celtics,4,Cleveland Cavaliers,2,1,2,,,,
1976,NBA,Western Conf Finals,May 2 - May 16 1976,Phoenix Suns,4,Golden State Warriors,3,3,1,,,,
1976,NBA,Finals,May 23 - Jun 6 1976,Boston Celtics,4,Phoenix Suns,2,1,3,,,,
1976,ABA,First Round,Apr 8 - Apr 12 1976,Kentucky Colonels,2,Indiana Pacers,1,4,5,,,,
1976,ABA,Semifinals,Apr 15 - Apr 28 1976,Denver Nuggets,4,Kentucky Colonels,3,1,4,,,,
1976,ABA,Semifinals,Apr 9 - Apr 24 1976,New York Nets,4,San Antonio Spurs,3,2,3,,,,
1976,ABA,Finals,May 1 - May 13 1976,New York Nets,4,Denver Nuggets,2,2,1,,,,
1975,NBA,Eastern Conf First Round,Apr 8 - Apr 12 1975,Houston Rockets,2,New York Knicks,1,4,5,,,,
1975,NBA,Western Conf First Round,Apr 8 - Apr 12 1975,Seattle SuperSonics,2,Detroit Pistons,1,4,5,,,,
1975,NBA,Eastern Conf Semifinals,Apr 14 - Apr 24 1975,Boston Celtics,4,Houston Rockets,1,1,4,,,,
1975,NBA,Eastern Conf Semifinals,Apr 10 - Apr 25 1975,Washington Bullets,4,Buffalo Braves,3,2,3,,,,
1975,NBA,Western Conf Semifinals,Apr 9 - Apr 23 1975,Chicago Bulls,4,Kansas City-Omaha Kings,2,2,3,,,,
1975,NBA,Western Conf Semifinals,Apr 14 - Apr 24 1975,Golden State Warriors,4,Seattle SuperSonics,2,1,4,,,,
1975,NBA,Eastern Conf Finals,Apr 27 - May 11 1975,Washington Bullets,4,Boston Celtics,2,2,1,,,,
1975,NBA,Western Conf Finals,Apr 27 - May 14 1975,Golden State Warriors,4,Chicago Bulls,3,1,2,,,,
1975,NBA,Finals,May 18 - May 25 1975,Golden State Warriors,4,Washington Bullets,0,1,2,,,,
1975,ABA,Eastern Div Tiebreak,Apr 4 - Apr 4 1975,Kentucky Colonels,1,New York Nets,0,0,0,,,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 13 1975,Kentucky Colonels,4,Memphis Sounds,1,1,4,,,,
1975,ABA,Eastern Div Semifinals,Apr 6 - Apr 15 1975,Spirits of St. Louis,4,New York Nets,1,3,2,,,,
1975,ABA,Western Div Semifinals,Apr 6 - Apr 14 1975,Denver Nuggets,4,Utah Stars,2,1,4,,,,
1975,ABA,Western Div Semifinals,Apr 5 - Apr 16 1975,Indiana Pacers,4,San Antonio Spurs,2,3,2,,,,
1975,ABA,Eastern Div Finals,Apr 21 - Apr 28 1975,Kentucky Colonels,4,Spirits of St. Louis,1,1,3,,,,
1975,ABA,Western Div Finals,Apr 20 - May 3 1975,Indiana Pacers,4,Denver Nuggets,3,3,1,,,,
1975,ABA,Finals,May 13 - May 22 1975,Kentucky Colonels,4,Indiana Pacers,1,1,3,,,,
